date,MagnM,Axym,Azrange,TminM,DminM,OType,Bmax,Bzmin,Vmax,Dstmin
38,2008.06.29 12:00:00,0.5,0.81,1.41,16,-0.19,9,5.9,-4.0,506.0,-19.0
39,2008.07.04 13:00:00,0.5,0.72,0.51,16,-0.14,9,5.7,-4.1,339.0,5.0
40,2008.07.05 11:00:00,0.4,1.38,1.09,26,-0.21,9,8.2,-6.2,413.0,-10.0
41,2008.07.11 02:00:00,0.4,0.71,0.65,4,-0.15,9,6.1,-3.6,374.0,-9.0
42,2008.07.11 12:00:00,1.1,0.96,0.65,58,-0.28,9,15.0,-8.4,708.0,-34.0
43,2008.07.20 18:00:00,0.4,0.68,0.46,28,-0.16,9,6.0,-2.9,384.0,-7.0
44,2008.07.22 07:00:00,0.9,0.67,0.61,39,-0.33,9,10.3,-3.1,653.0,-27.0
45,2008.07.24 17:00:00,0.4,0.74,0.72,6,-0.17,9,5.5,-2.3,507.0,-20.0
46,2008.07.27 12:00:00,0.7,0.63,0.93,16,-0.15,9,7.9,-4.3,460.0,-18.0
47,2008.08.05 04:00:00,0.5,0.85,0.79,53,-0.2,9,6.9,-2.8,369.0,-4.0
48,2008.08.08 12:00:00,1.7,1.1,0.71,46,-0.26,9,19.3,-4.1,658.0,-33.0
49,2008.08.13 22:00:00,0.5,1.11,0.8,11,-0.14,9,6.6,-4.2,490.0,-17.0
50,2008.08.18 03:00:00,0.8,0.57,0.98,24,-0.2,9,10.8,-4.6,635.0,-26.0
51,2008.08.27 03:00:00,0.5,0.79,0.87,69,-0.15,9,6.8,-2.8,350.0,-5.0
52,2008.09.03 02:00:00,0.7,1.37,0.49,11,-0.28,9,14.5,-5.2,438.0,-3.0
53,2008.09.03 15:43:00,1.1,1.32,0.87,4,-0.26,3,12.8,-7.9,600.0,-51.0
54,2008.09.06 02:00:00,0.5,0.85,0.63,5,-0.18,9,6.8,-2.9,632.0,-17.0
55,2008.09.13 05:00:00,0.2,0.79,0.65,6,-0.12,9,3.7,-1.8,333.0,-3.0
